NAME,STATE,SCHEDULED_TIME,COMPLETED_TIME,ERROR_MESSAGE
TASK_DCM_DRIFT_CHECK,SUCCEEDED,2026-08-23T22:00:00-07:00,2026-08-23T22:00:30.574000-07:00,
TASK_DCM_DRIFT_CHECK,SUCCEEDED,2026-08-24T22:00:00-07:00,2026-08-24T22:00:31.675000-07:00,
TASK_DCM_DRIFT_CHECK,SCHEDULED,2026-08-25T22:00:00-07:00,,
